Season;Club;Competition;Games
2002/2003;Sporting CP;Liga Portugal;25
2002/2003;Sporting CP;Taca de Portugal Placard;3
2003/2004;Manchester United;FA Cup;5
2003/2004;Manchester United;Premier League;29
2004/2005;Manchester United;FA Cup;7
2004/2005;Manchester United;Premier League;33
2005/2006;Manchester United;EFL Cup;4
2005/2006;Manchester United;Premier League;33
2005/2006;Manchester United;UEFA Champions League Qualifying;2
2006/2007;Manchester United;FA Cup;7
2006/2007;Manchester United;Premier League;34
2006/2007;Manchester United;UEFA Champions League;11
2007/2008;Manchester United;FA Cup;3
2007/2008;Manchester United;Premier League;34
2007/2008;Manchester United;UEFA Champions League;11
2008/2009;Manchester United;EFL Cup;4
2008/2009;Manchester United;FA Cup;2
2008/2009;Manchester United;FIFA Club World Cup;2
2008/2009;Manchester United;Premier League;33
2008/2009;Manchester United;UEFA Champions League;12
2009/2010;Real Madrid;LaLiga;29
2009/2010;Real Madrid;UEFA Champions League;6
2010/2011;Real Madrid;Copa del Rey;8
2010/2011;Real Madrid;LaLiga;34
2010/2011;Real Madrid;UEFA Champions League;12
2011/2012;Real Madrid;Copa del Rey;5
2011/2012;Real Madrid;LaLiga;38
2011/2012;Real Madrid;Supercopa;2
2011/2012;Real Madrid;UEFA Champions League;1
2012/2013;Real Madrid;Copa del Rey;7
2012/2013;Real Madrid;LaLiga;34
2012/2013;Real Madrid;Supercopa;2
2012/2013;Real Madrid;UEFA Champions League;12
2013/2014;Real Madrid;Copa del Rey;6
2013/2014;Real Madrid;LaLiga;30
2013/2014;Real Madrid;UEFA Champions League;11
2014/2015;Real Madrid;Copa del Rey;2
2014/2015;Real Madrid;LaLiga;35
2014/2015;Real Madrid;UEFA Champions League;12
2014/2015;Real Madrid;UEFA Super Cup;1
2015/2016;Real Madrid;LaLiga;36
2015/2016;Real Madrid;UEFA Champions League;12
2016/2017;Real Madrid;Copa del Rey;2
2016/2017;Real Madrid;FIFA Club World Cup;4
2016/2017;Real Madrid;LaLiga;29
2016/2017;Real Madrid;UEFA Champions League;13
2017/2018;Real Madrid;FIFA Club World Cup;4
2017/2018;Real Madrid;LaLiga;27
2017/2018;Real Madrid;Supercopa;1
2017/2018;Real Madrid;UEFA Champions League;13
2018/2019;Juventus FC;Serie A;31
2018/2019;Juventus FC;Supercoppa Italiana;1
2018/2019;Juventus FC;UEFA Champions League;9
2019/2020;Juventus FC;Italy Cup;4
2019/2020;Juventus FC;Serie A;33
2019/2020;Juventus FC;UEFA Champions League;8
2020/2021;Juventus FC;Italy Cup;4
2020/2021;Juventus FC;Serie A;33
2020/2021;Juventus FC;Supercoppa Italiana;1
2020/2021;Juventus FC;UEFA Champions League;6
2021/2022;Manchester United;Premier League;30
2021/2022;Manchester United;UEFA Champions League;7
2022/2023;Manchester United;Europa League;6
2022/2023;Manchester United;Premier League;10
2022/2023;Al-Nassr FC;Saudi Pro League;16
2023/2024;Al-Nassr FC;AFC Champions League;9
2023/2024;Al-Nassr FC;King's Cup;4
2023/2024;Al-Nassr FC;Saudi Pro League;31
2024/2025;Al-Nassr FC;AFC Champions League;8
2024/2025;Al-Nassr FC;Saudi Pro League;30
2024/2025;Al-Nassr FC;Saudi Super Cup;2
2025/2026;Al-Nassr FC;Saudi Pro League;9
2025/2026;Al-Nassr FC;Saudi Super Cup;2
